lb_code,lb_name,borough_area_hectare,green_area_hectare,percent_green,Life_expectancy_1618,Number_of_deaths_2016,Depressive episode (rates per 1000 population),Generalised anxiety disorder,"Numbers of suicide, annual (2014)"
City of London,E09000001,314.94,17.61,5.59,,41,39.5,60.4,2
Barking and Dagenham,E09000002,3779.93,1481.78,39.2,78,"1,191",34.4,51.1,13
Barnet,E09000003,8674.84,5030.91,57.99,82.4,"2,430",32.5,49,32
Bexley,E09000004,6428.65,2759.07,42.92,80.1,"2,005",30.4,45.9,14
Brent,E09000005,4323.27,1726.56,39.94,80.8,"1,702",35.2,53,25
Bromley,E09000006,15013.49,10262.64,68.36,81.3,"2,655",31,47.2,28
Camden,E09000007,2178.93,943.02,43.28,82.7,"1,098",39.3,58.5,23
Croydon,E09000008,8649.44,4802.84,55.53,80.3,"2,424",33.7,50.9,36
Ealing,E09000009,5554.43,2441.65,43.96,80.8,"1,950",34,51.7,12
Enfield,E09000010,8220.02,4352.73,52.95,80.6,"2,017",33.4,50.4,13
Greenwich,E09000011,5044.19,2180.09,43.22,79.5,"1,616",36.7,54.9,14
Hackney,E09000012,1904.9,738.97,38.79,79.6,"1,095",40.6,61.1,10
Hammersmith and Fulham,E09000013,1715.41,473.37,27.6,79.7,861,39.2,59.6,9
Haringey,E09000014,2959.84,1288.89,43.55,80.8,"1,163",38.8,58.7,31
Harrow,E09000015,5046.33,2796.61,55.42,83.3,"1,468",30,45.4,13
Havering,E09000016,11445.74,7551.97,65.98,79.7,"2,387",29.7,44.8,19
Hillingdon,E09000017,11570.06,6316.8,54.6,80.4,"1,833",31.2,46.5,8
Hounslow,E09000018,5658.54,2677.23,47.31,80,"1,517",33,49.8,6
Islington,E09000019,1485.67,518.14,34.88,79.6,"1,001",40.6,60.6,16
Kensington and Chelsea,E09000020,1238.38,376.07,30.37,83.3,807,37.9,57.2,12
Kingston upon Thames,E09000021,3726.12,1953.41,52.42,81.5,"1,067",32.1,48.1,4
Lambeth,E09000022,2724.94,896.81,32.91,79.2,"1,440",40.6,62.3,19
Lewisham,E09000023,3531.71,1421.51,40.25,79.2,"1,467",38.6,58.5,15
Merton,E09000024,3762.47,1835.36,48.78,81,"1,206",33.3,50.8,11
Newham,E09000025,3857.81,1182.08,30.64,80.2,"1,263",36.7,54.2,23
Redbridge,E09000026,5644.22,3023.23,53.56,81.5,"1,738",31.6,47.7,15
Richmond upon Thames,E09000027,5876.11,3642.68,61.99,82.5,"1,176",33.2,50.7,6
Southwark,E09000028,2991.34,1126.72,37.67,79.3,"1,354",39.9,60.2,31
Sutton,E09000029,4384.7,2178.83,49.69,80.6,"1,527",31.7,48.2,11
Tower Hamlets,E09000030,2157.5,547.61,25.38,79.3,"1,059",37.5,56.3,22
Waltham Forest,E09000031,3880.79,1721.34,44.36,80.6,"1,418",35.6,53.8,20
Wandsworth,E09000032,3522.02,1373.92,39.01,80.5,"1,508",37.6,57.1,21
City of Westminster,E09000033,2203,687.28,31.2,83.9,"1,123",37.3,55.6,17
,,,,,,,,,